               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.050022,            0.012323,                   0,           0.0094468,             0.26923,           0.0066825,           0.0012311,            0.031958,           0.0059737,                   0,           0.0013581,           0.0013581,            0.019658
                 127,            0.047674,            0.013285,                   0,            0.011452,             0.17308,           0.0067025,            0.001201,            0.032031,           0.0059457,                   0,           0.0013597,           0.0013597,             0.01941
                 128,            0.044142,            0.012825,                   0,            0.010344,            0.057692,           0.0063053,           0.0010643,            0.032168,           0.0059544,                   0,           0.0013611,           0.0013611,            0.019161
                 129,            0.048645,            0.012329,                   0,            0.017557,            0.028846,           0.0069538,            0.001416,            0.032615,            0.005901,                   0,           0.0013623,           0.0013623,            0.018912
                 130,            0.049018,            0.011809,                   0,            0.028661,            0.038462,           0.0079398,           0.0013457,             0.03219,           0.0059564,                   0,           0.0013634,           0.0013634,            0.018663
                 131,            0.046484,            0.012723,                   0,            0.013479,            0.028846,           0.0069664,           0.0010591,            0.032043,            0.005951,                   0,           0.0013643,           0.0013643,            0.018414
                 132,            0.047103,            0.013527,                   0,            0.012514,            0.086538,           0.0072634,           0.0012262,            0.032334,            0.005884,                   0,           0.0013651,           0.0013651,            0.018165
                 133,            0.048876,            0.014519,                   0,            0.016342,                0.25,           0.0096331,           0.0014814,            0.031915,           0.0058977,                   0,           0.0013657,           0.0013657,            0.017916
                 134,            0.048953,            0.012153,                   0,             0.02595,            0.038462,           0.0086333,           0.0015688,            0.031469,           0.0059458,                   0,           0.0013661,           0.0013661,            0.017666
                 135,            0.048293,            0.014558,                   0,            0.017439,                0.25,            0.011409,           0.0017992,            0.031617,           0.0058928,                   0,           0.0013663,           0.0013663,            0.017416
                 136,            0.047935,            0.014445,                   0,            0.019092,            0.096154,            0.011614,           0.0020086,              0.0316,           0.0058331,                   0,           0.0013664,           0.0013664,            0.017166
                 137,            0.047711,            0.012948,                   0,             0.01974,               0.125,             0.01104,           0.0020325,            0.031476,           0.0058732,                   0,           0.0013663,           0.0013663,            0.016916
                 138,            0.048556,            0.013655,                   0,            0.020155,             0.23077,            0.012035,           0.0022437,            0.031403,            0.005833,                   0,           0.0013661,           0.0013661,            0.016666
                 139,            0.047874,            0.012413,                   0,            0.016544,             0.21154,            0.010218,           0.0020299,            0.031251,           0.0058252,                   0,           0.0013657,           0.0013657,            0.016416
                 140,            0.047568,            0.013458,                   0,            0.014589,             0.25962,            0.010263,           0.0017548,            0.031564,           0.0057799,                   0,           0.0013652,           0.0013652,            0.016165
                 141,            0.047707,            0.013053,                   0,            0.010676,             0.27885,           0.0080022,            0.001375,            0.032033,           0.0058266,                   0,           0.0013645,           0.0013645,            0.015914
                 142,            0.046015,            0.012396,                   0,            0.011766,             0.20192,           0.0087277,           0.0014975,            0.032274,           0.0058261,                   0,           0.0013636,           0.0013636,            0.015664
                 143,            0.048151,            0.013855,                   0,           0.0090051,             0.15385,           0.0068492,           0.0010317,            0.032517,             0.00592,                   0,           0.0013626,           0.0013626,            0.015413
                 144,            0.044123,            0.012059,                   0,            0.010189,             0.32692,           0.0073542,           0.0012082,            0.032699,           0.0057641,                   0,           0.0013614,           0.0013614,            0.015161
                 145,            0.049472,            0.012836,                   0,            0.010042,             0.52885,           0.0081868,           0.0014913,            0.033216,           0.0057056,                   0,           0.0013601,           0.0013601,             0.01491
                 146,            0.048053,            0.013589,                   0,            0.010499,            0.057692,           0.0063524,            0.001078,            0.033173,           0.0057176,                   0,           0.0013586,           0.0013586,            0.014659
                 147,             0.04805,            0.012177,                   0,            0.013287,            0.086538,           0.0073512,           0.0012931,            0.032643,           0.0057538,                   0,            0.001357,            0.001357,            0.014407
                 148,            0.047975,            0.012879,                   0,           0.0092923,             0.10577,           0.0062143,           0.0010674,            0.032312,           0.0057616,                   0,           0.0013552,           0.0013552,            0.014155
                 149,            0.047641,            0.013977,                   0,             0.01474,            0.057692,            0.007171,           0.0012824,            0.032707,           0.0057911,                   0,           0.0013533,           0.0013533,            0.013903
                 150,            0.048905,             0.01273,                   0,            0.013438,            0.048077,           0.0072807,           0.0014037,            0.032619,           0.0057678,                   0,           0.0013512,           0.0013512,            0.013651
                 151,            0.047889,            0.012355,                   0,            0.014022,             0.14423,           0.0078695,           0.0014059,            0.032983,           0.0057042,                   0,           0.0013489,           0.0013489,            0.013399
                 152,            0.047931,            0.012753,                   0,             0.01007,             0.27885,           0.0071067,           0.0014069,            0.033194,           0.0056704,                   0,           0.0013466,           0.0013466,            0.013147
                 153,            0.047786,            0.013976,                   0,            0.011617,             0.36538,             0.00845,            0.001489,            0.032603,           0.0057326,                   0,            0.001344,            0.001344,            0.012894
